rank,country_code,player,points,tournaments,confederation,country
1297,BRN,Sayed Ebrahim Hasan,100,1,Asia,Bahrain
1297,BRN,Ahmed Hasan,100,1,Asia,Bahrain
1297,KSA,Yazan Saigh,100,1,Asia,SAUDI ARABIA
1371,CRO,Vito Saganić,90,4,Europe,Croatia
1372,SRB,Viktor Petrovic,90,3,Europe,Serbia
1373,ENG,William Freer,90,2,Europe,England
1373,FRA,Achille Girard,90,2,Europe,France
1373,FRA,Arthur Chardain,90,2,Europe,France
1376,WAL,Andrew Oates,80,3,Europe,Wales
1376,GER,Pascal Scheiel,80,3,Europe,Germany
1376,AUT,Tobias Rudolf,80,3,Europe,Austria
1376,ITA,Marco Bailetti,80,3,Europe,Italy
1376,SWE,Hector Rebetz,80,3,Europe,Sweden
1376,HUN,Kean Gabor Kigyos,80,3,Europe,Hungary
1382,ISL,Robert Ingi Huldarsson,80,2,Europe,Iceland
1382,POL,Patryk Kordek,80,2,Europe,Poland
1382,BUL,Martin Hlebarski,80,2,Europe,Bulgaria
1382,LTU,Vilius Bagdanavicius,80,2,Europe,Lithuania
1382,BUL,Ivan Dimitrov,80,2,Europe,Bulgaria
1382,IRL,Matthew Cheung,80,2,Europe,Ireland
1382,SCO,Michael Mcguire,80,2,Europe,Scotland
1382,UKR,Serhii Marushchak,80,2,Europe,Ukraine
1382,LTU,Azuolas Barkauskas,80,2,Europe,Lithuania
1382,GER,Dorian Florin Tihi,80,2,Europe,Germany
1392,SUI,Patrick Zbinden,70,3,Europe,Switzerland
1393,UKR,Vladyslav Stepanchenko,70,2,Europe,Ukraine
1393,BUL,Stanimir Terziev,70,2,Europe,Bulgaria
1395,MRI,Saheer Ramrakha,70,1,Africa,Mauritius
1395,UGA,Daniel Mihigo,70,1,Africa,Uganda
1395,UGA,Davies Senono,70,1,Africa,Uganda
1395,UGA,Moustafa Bumpenje,70,1,Africa,Uganda
1395,MAD,Hery-Zo Maminiaina Rakotoherinivo,70,1,Africa,Madagascar
1395,UGA,Expedito Emuddu,70,1,Africa,Uganda
1395,UGA,Muzafar Lubega,70,1,Africa,Uganda
1395,REU,Terry Sebastien Amedee,70,1,Africa,Ligue Nouvelle Badminton REUNION
1395,UGA,Denis Onyango,70,1,Africa,Uganda
1395,NED,Sebastiaan Li,70,1,Europe,Netherlands
1395,IND,Sarath Dunna,70,1,Asia,India
1395,UGA,Aaron Opea Renge,70,1,Africa,Uganda
1395,MAD,Randriamalala Julio Keman,70,1,Africa,Madagascar
1395,MRI,Abdul Zaheer Beebeejaun,70,1,Africa,Mauritius
1395,MRI,Abdul Zeeshan Beebeejaun,70,1,Africa,Mauritius
1395,POL,Yevhen Kobzar,70,1,Europe,Poland
1395,BEL,Tijl Dewit,70,1,Europe,Belgium
1395,DEN,Mikkel Toft,70,1,Europe,Denmark
1395,MRI,Jason Francois,70,1,Africa,Mauritius
1395,IRL,Callum Thomas,70,1,Europe,Ireland
1395,UGA,Jordan Abo,70,1,Africa,Uganda
1395,UGA,Samuel Wasswa,70,1,Africa,Uganda
1395,UGA,Akbar Oduka,70,1,Africa,Uganda
1395,UGA,Thomas Katerega,70,1,Africa,Uganda
1395,DEN,Michael Svejsø,70,1,Europe,Denmark
1395,MRI,Bhavesh Bissessur,70,1,Africa,Mauritius
1395,MRI,Hanuman Pravish,70,1,Africa,Mauritius
1395,MRI,Douce Lucas,70,1,Africa,Mauritius
1395,UKR,Vladyslav Landiak,70,1,Europe,Ukraine
1395,IND,Srivatsav Duwari,70,1,Asia,India
1395,IRL,Louie Lyons,70,1,Europe,Ireland
1395,UGA,Shaurya Gupta,70,1,Africa,Uganda
1395,UGA,Muhammad Ssali,70,1,Africa,Uganda
1395,UGA,Akram Kamoga,70,1,Africa,Uganda
1395,IND,Vikash Prabhu Radhakrishnan,70,1,Asia,India
1395,UKR,Nikita Shelest,70,1,Europe,Ukraine
1395,UKR,Mikola Tsygankov,70,1,Europe,Ukraine
1395,IND,Raviraj Sharma,70,1,Asia,India
1395,IND,Dharsan Arul,70,1,Asia,India
1395,IND,Devansh Hirani,70,1,Asia,India
1395,IND,Gaurav Parmar,70,1,Asia,India
1395,UGA,Nabil Ishimwe,70,1,Africa,Uganda
1395,UGA,Aaron Ndawula,70,1,Africa,Uganda
1395,UGA,Shilton Tayebwa,70,1,Africa,Uganda
1395,UGA,Alyaan Mawani,70,1,Africa,Uganda
1395,UGA,Batham Kaweesa,70,1,Africa,Uganda
1395,UGA,Reagan Micheal Nsubuga,70,1,Africa,Uganda
1395,MRI,Nyanesh Anand Changea,70,1,Africa,Mauritius
1395,MAD,Rakotojaona Tokinirina Fifaliana José,70,1,Africa,Madagascar
1395,REU,Reale Devy,70,1,Africa,Ligue Nouvelle Badminton REUNION
1395,MRI,Rayan Emamdhully,70,1,Africa,Mauritius
1395,MAD,Razafimandimby Tokinirina,70,1,Africa,Madagascar
1395,MRI,Cheong Fon Youn Jordy Kris Wann Hua,70,1,Africa,Mauritius
1395,REU,Mathieu Savini,70,1,Africa,Ligue Nouvelle Badminton REUNION
1395,NED,Mats Duwel,70,1,Europe,Netherlands
1395,NED,Dion Rovers,70,1,Europe,Netherlands
1395,BEL,Pepijn Van Rossom,70,1,Europe,Belgium
1395,ENG,Ewen Stephen,70,1,Europe,England
1395,FRA,Lois Le Corre,70,1,Europe,France
1395,ENG,Isum Arachchige,70,1,Europe,England
1455,GRE,Paschalis Melikidis,60,2,Europe,Greece
1455,SUI,Jonas Schwarz,60,2,Europe,Switzerland
1455,SLO,Natan Maksimovic,60,2,Europe,Slovenia
1455,GER,Saurya Singh,60,2,Europe,Germany
1455,SUI,Mathis Chanthakesone,60,2,Europe,Switzerland
1460,LTU,Edgaras Slusnys,60,1,Europe,Lithuania
1460,CRO,Josip Uglesic,60,1,Europe,Croatia
1460,LTU,Kazimieras Dauskurtas,60,1,Europe,Lithuania
1460,LTU,Ignas Reznikas,60,1,Europe,Lithuania
1460,MLT,Samuel Cali,60,1,Europe,Malta
1460,CZE,Filip Budzel,60,1,Europe,Czech Republic
1460,MEX,Juan Carlos Garcia Tapia,60,1,Pan America,Mexico
1460,GRE,Dimitrios Papadopoulos,60,1,Europe,Greece
1460,TUR,Tayfun Tasdemir,60,1,Europe,Türkiye
1460,CAN,Anthony Nguyen,60,1,Pan America,Canada
1460,MEX,Jeronimo Uruñuela,60,1,Pan America,Mexico
1460,NIG,Abdoulnasser Issiakou Chaibou,60,1,Africa,NIGER Fédération Nigerienne de Badminton
1460,FRA,Marius Reboul L'Alexandre,60,1,Europe,France
1460,FRA,Arthur Tatranov,60,1,Europe,France
1460,FRA,Logan Dorso,60,1,Europe,France
1460,FRA,Marwen Debeche,60,1,Europe,France
1460,FRA,Maxime Leveque,60,1,Europe,France
1460,PAR,Lian Josue Chen Gonzalez,60,1,Pan America,Paraguay
1460,CRC,Santiago Suarez,60,1,Pan America,Costa Rica
1460,MEX,Yibak Jessel,60,1,Pan America,Mexico
1460,MEX,Hector Emiliano Regino Rojas,60,1,Pan America,Mexico
1460,FIN,Kaiwen Li,60,1,Europe,Finland
1460,FIN,Rasmus Andersson,60,1,Europe,Finland
1460,NGR,Chukwuka Michael,60,1,Africa,Nigeria
1460,SUI,Nicolas Gerber,60,1,Europe,Switzerland
1460,DEN,Victor Popp,60,1,Europe,Denmark
1460,DEN,Mikkel Langemark,60,1,Europe,Denmark
1460,ESP,Manuel Calero,60,1,Europe,Spain
1460,DEN,Mads Storm Randrup,60,1,Europe,Denmark
1460,BUL,Nikolay Kolev,60,1,Europe,Bulgaria
1460,TUR,Berkay Cicen,60,1,Europe,Türkiye
1460,ZAM,Gift Kangelesa,60,1,Africa,Zambia
1460,ZAM,Maurice Mbewe,60,1,Africa,Zambia
1460,ZAM,Justine Simwanza,60,1,Africa,Zambia
1460,FIN,Ananda Galvani Daniswara,60,1,Europe,Finland
1460,JPN,Shun Saito,60,1,Asia,Japan
1460,BOT,Thabang Nawa,60,1,Africa,Botswana
1460,TPE,Tso Chuan Yeh,60,1,Asia,Chinese Taipei
1460,TPE,Wen Che Lee,60,1,Asia,Chinese Taipei
1460,RSA,Tak Wing Yu,60,1,Africa,South Africa
1460,ITA,Marco Danti,60,1,Europe,Italy
1460,SUI,Liano Panza,60,1,Europe,Switzerland
1460,ITA,Zyver John De Leon,60,1,Europe,Italy
1503,GER,Tamino Procida,50,3,Europe,Germany
1503,DEN,Niklas Lynge Olesen,50,3,Europe,Denmark
1505,SLO,Aljaz Ferk,50,2,Europe,Slovenia
1505,POL,Michal Sobolewski,50,2,Europe,Poland
1505,EST,Rene Leeman,50,2,Europe,Estonia
1505,EST,Chris Robin Talts,50,2,Europe,Estonia
1505,SLO,Ziga Podgoršek,50,2,Europe,Slovenia
1510,HUN,Marcell Csobod,40,3,Europe,Hungary
1511,MLT,Nigel Degaetano,40,2,Europe,Malta
1511,POR,Kevin Selvarajah,40,2,Europe,Portugal
1511,CYP,Constantinos Symeonides,40,2,Europe,Cyprus
1511,LTU,Domas Paksys,40,2,Europe,Lithuania
1511,AUT,Ilija Nicolussi,40,2,Europe,Austria
1511,FRA,Raphael Chenu,40,2,Europe,France
1511,ROU,Calin Tudor Turcu,40,2,Europe,Romania
1518,EST,Rainer Kaljumae,40,1,Europe,Estonia
1518,EST,Mihkel Talts,40,1,Europe,Estonia
1518,SWE,Viktor Aglinder,40,1,Europe,Sweden
1518,SWE,Niclas Borg Sigg,40,1,Europe,Sweden
1518,TUR,Yazgan Calisir,40,1,Europe,Türkiye
1518,COL,Juan Felipe Noguera,40,1,Pan America,Colombia
1518,NOR,Mads Marum,40,1,Europe,Norway
1518,TUR,Okan Gultekin,40,1,Europe,Türkiye
1518,ENG,Ben Hunt,40,1,Europe,England
1518,POR,Daniel Mendes,40,1,Europe,Portugal
1518,SWE,Max Gotfredsen,40,1,Europe,Sweden
1518,EST,Aleksander Bazanov,40,1,Europe,Estonia
1518,RUS,Ilya Timofeev,40,1,Europe,Russia
1518,ITA,Nicolò Volpi,40,1,Europe,Italy
1518,POL,Michal Szczypka,40,1,Europe,Poland
1518,EST,Robin Schmalz,40,1,Europe,Estonia
1518,POR,Pedro Pedroso,40,1,Europe,Portugal
1518,ESP,Jacobo Fernandez,40,1,Europe,Spain
1518,EST,Hugo Themas,40,1,Europe,Estonia
1518,EST,Roland Kutsei,40,1,Europe,Estonia
1518,EST,Andrei Schmidt,40,1,Europe,Estonia
1518,EST,Marti Joost,40,1,Europe,Estonia
1518,EST,Rasmus Roogsoo,40,1,Europe,Estonia
1518,SWE,Tim Mörk,40,1,Europe,Sweden
1518,POR,Daniel Costa,40,1,Europe,Portugal
1518,GER,Karim Krehemeier,40,1,Europe,Germany
1518,POL,Łukasz Chudzinski,40,1,Europe,Poland
1518,POL,Franciszek Kaminski,40,1,Europe,Poland
1518,POL,Piotr Heinke,40,1,Europe,Poland
1518,POL,Kajetan Baranowski,40,1,Europe,Poland
1518,CAN,Joshua Chang,40,1,Pan America,Canada
1518,POL,Adam Bogacz,40,1,Europe,Poland
1518,CZE,Tomáš Patera,40,1,Europe,Czech Republic
1518,CZE,Tomáš Vrbka,40,1,Europe,Czech Republic
1518,HUN,Csanad Horvath,40,1,Europe,Hungary
1518,GER,Sanjeevi Padmanabhan Vasudevan,40,1,Europe,Germany
1518,NOR,Andreas Roksvaag,40,1,Europe,Norway
1518,GER,Jonathan Dresp,40,1,Europe,Germany
1556,GER,Moritz Unz,30,3,Europe,Germany
1557,ISL,Jonas Baldursson,30,2,Europe,Iceland
1557,ISL,Eidur Isak Broddason,30,2,Europe,Iceland
1557,LAT,Arturs Kelpe,30,2,Europe,Latvia
1557,MKD,Ivan Pejoski,30,2,Europe,Macedonia
1557,LAT,Roberts Renars Miscenko,30,2,Europe,Latvia
1557,LAT,Pauls Eliass Rozenvalds,30,2,Europe,Latvia
1557,LTU,Augustas Valatka,30,2,Europe,Lithuania
1557,SLO,Anel Hac Gyorkos,30,2,Europe,Slovenia
1557,FIN,Zafir Emran,30,2,Europe,Finland
1557,WAL,Paak Yee Chong,30,2,Europe,Wales
1557,ENG,Harry Morgan,30,2,Europe,England
1557,BUL,Kristian Kitanov,30,2,Europe,Bulgaria
1557,POR,Rodrigo Almeida,30,2,Europe,Portugal
1570,ENG,Thomas Joseph Stanford,30,1,Europe,England
1570,WAL,Gavin Kirby,30,1,Europe,Wales
1570,ENG,Harry Lines,30,1,Europe,England
1570,ENG,Eid Ali Al Maliki,30,1,Europe,England
1570,ENG,Felix Wright,30,1,Europe,England
1570,WAL,Barry Garnham,30,1,Europe,Wales
1570,ENG,Luke Griffiths,30,1,Europe,England
1570,WAL,Harper Leigh,30,1,Europe,Wales
1570,ENG,Harry Willson,30,1,Europe,England
1579,SUI,Nicolas Franconville,20,2,Europe,Switzerland
1580,HUN,Mark Szent-Andrassy,20,1,Europe,Hungary
1580,SRB,Ilija Pavlovic,20,1,Europe,Serbia
1580,CGO,Mbongo Dimitri,20,1,Africa,Congo
1580,BOT,Keone Olatoste,20,1,Africa,Botswana
1580,POR,Angelo Silva,20,1,Europe,Portugal
1580,GRE,Axilleas Tsartsidis,20,1,Europe,Greece
1580,WAL,Scott Oates,20,1,Europe,Wales
1580,BOT,Gotsilemang Motlhabane,20,1,Africa,Botswana
1580,SLO,Domen Lonzarič,20,1,Europe,Slovenia
1580,BOT,Tsamorena Kevin Kgosidialwa,20,1,Africa,Botswana
1580,LTU,Linas Supronas,20,1,Europe,Lithuania
1580,BEN,Jules Francklin Nahouenou,20,1,Africa,Benin
1580,POL,Michal Matysiak,20,1,Europe,Poland
1580,HUN,Zsombor Dulcz,20,1,Europe,Hungary
1580,BOT,Tshimologo Rasta,20,1,Africa,Botswana
1580,BEN,Mario Anagonou,20,1,Africa,Benin
1580,WAL,Adam Stewart,20,1,Europe,Wales
1580,AZE,Ravan Niftaliyev,20,1,Europe,Azerbaijan
1580,GRE,Theodoros Papadopoulos,20,1,Europe,Greece
1580,GER,Ansgar Kirste,20,1,Europe,Germany
1580,GER,Matti-Lukka Bahro,20,1,Europe,Germany
1580,LAT,Patriks Kandis,20,1,Europe,Latvia
1580,BEN,Blaise Awolabi Effouyemi,20,1,Africa,Benin
1580,BEN,Raoul Charbel Kodjo,20,1,Africa,Benin
1580,BEN,Alex Revelie Djinin Sah,20,1,Africa,Benin
1580,BEN,Ulrich Tometin,20,1,Africa,Benin
1580,BUL,Pavel Dimitrov,20,1,Europe,Bulgaria
1580,AUT,Erik Seiwald,20,1,Europe,Austria
1580,ESP,Adrian Oncina,20,1,Europe,Spain
1580,ESP,Nacho Cervello,20,1,Europe,Spain
1580,BEN,Seto Priskero Kiki,20,1,Africa,Benin
1580,BEN,Godson Dossa,20,1,Africa,Benin
1580,BEN,Alhassane Songoma,20,1,Africa,Benin
1580,BEN,Elise Assigbe,20,1,Africa,Benin
1580,BEN,Yann Vital Abissi,20,1,Africa,Benin
1580,EST,Anton Berik,20,1,Europe,Estonia
1580,LAT,Rolands Bratcikovs,20,1,Europe,Latvia
1580,BOT,Tsaone Mosweu,20,1,Africa,Botswana
1580,SVK,Richard Pavlik,20,1,Europe,Slovakia
1580,SLO,Mark Koroša,20,1,Europe,Slovenia
1580,SVK,Simeon Suchy,20,1,Europe,Slovakia
1580,GER,Moritz Miller,20,1,Europe,Germany
1580,AUT,Richard Schneeberger,20,1,Europe,Austria
1580,AUT,Adrian Schwarzmann,20,1,Europe,Austria
1580,AUT,Syed Daanyaal Ali,20,1,Europe,Austria
1580,LTU,Matas Mackevicius,20,1,Europe,Lithuania
1580,FRA,Louis Lefevre,20,1,Europe,France
1580,FRA,Tristan Grellier,20,1,Europe,France
1580,FRA,Yohann Osvald,20,1,Europe,France
1580,FRA,Eliott Morille,20,1,Europe,France
1580,FRA,Timeo Lacour,20,1,Europe,France
1580,FRA,Axel Ganci,20,1,Europe,France
1580,FRA,Swann Hardi,20,1,Europe,France
1580,FRA,Ewan Goulin,20,1,Europe,France
1580,LAT,Arnolds Tiļļa,20,1,Europe,Latvia
1580,BEN,Gildas Tobossi,20,1,Africa,Benin
1580,BEN,T. L. Novalis Noel Noukpo,20,1,Africa,Benin
1580,NIG,Yasser Abdelkader Souna Sido,20,1,Africa,NIGER Fédération Nigerienne de Badminton
1580,BEN,Gbenakpon Franck Allognon,20,1,Africa,Benin
1580,NIG,Issoufou Hamadou Ali,20,1,Africa,NIGER Fédération Nigerienne de Badminton
1580,BEN,Edric Marnel Charbel Mehou,20,1,Africa,Benin
1580,NGR,Abba Mohammed,20,1,Africa,Nigeria
1580,NIG,Abdoul Fatah Soumaila Tiecoura,20,1,Africa,NIGER Fédération Nigerienne de Badminton
1580,BEN,Spero Dossa,20,1,Africa,Benin
1580,DEN,Niels Rugaard,20,1,Europe,Denmark
1580,DEN,Jacob Thyge,20,1,Europe,Denmark
1580,DEN,Kasper Funch,20,1,Europe,Denmark
1580,SUI,Robin Gerber,20,1,Europe,Switzerland
1580,DEN,Rune Tøttrup,20,1,Europe,Denmark
1580,BUL,Stefan Zeirov,20,1,Europe,Bulgaria
1580,SWE,Deepak Pillai,20,1,Europe,Sweden
1580,BUL,Tsvetomir Stoyanov,20,1,Europe,Bulgaria
1580,BUL,Krasimir Todorov,20,1,Europe,Bulgaria
1580,BUL,Aleksander Petrov,20,1,Europe,Bulgaria
1580,BOT,Nelson Tjihumino,20,1,Africa,Botswana
1580,BOT,Phenyo Mokgwatlheng,20,1,Africa,Botswana
1580,BOT,Oankgoga Tidimatso,20,1,Africa,Botswana
1580,BOT,Ryan Ngetupe Kehinana,20,1,Africa,Botswana
1580,BOT,Baldwin Atlang Wesi,20,1,Africa,Botswana
1580,BOT,Trinity Pheko,20,1,Africa,Botswana
1580,BOT,Sibusiso Jabulani Ntungwana,20,1,Africa,Botswana
1580,BOT,Modiri Motshegwe,20,1,Africa,Botswana
1580,BOT,Kamogelo Bofelo Wesi,20,1,Africa,Botswana
1580,LES,Neo Rahlolo,20,1,Africa,Losotho
1580,BOT,Thabang Lebogang,20,1,Africa,Botswana
1580,SUI,Matthias Trauffer,20,1,Europe,Switzerland
1580,SUI,Andri Niedermann,20,1,Europe,Switzerland
1580,ITA,Diego Scalvini,20,1,Europe,Italy
1580,SUI,Josua Hardmeier,20,1,Europe,Switzerland
1580,SWE,Marcus Svenson,20,1,Europe,Sweden
1580,SUI,Noel Tappeiner,20,1,Europe,Switzerland
1580,NED,Casper Spaans,20,1,Europe,Netherlands
1580,SUI,Niklas Kramer,20,1,Europe,Switzerland
1673,LAT,Edijs Livins,10,1,Europe,Latvia
1673,SLO,Daniel Klančar,10,1,Europe,Slovenia
1673,CYP,Elias Nicolaou,10,1,Europe,Cyprus
1673,LAT,Ivo Keiss,10,1,Europe,Latvia
1673,IRL,Tony Crowley,10,1,Europe,Ireland
1673,ISL,Gustav Nilsson,10,1,Europe,Iceland
1673,ISL,Stefan Arni Arnarsson,10,1,Europe,Iceland
1673,LAT,Gustavs Davids Brecs,10,1,Europe,Latvia
1673,LAT,Toms Sala,10,1,Europe,Latvia
1673,LAT,Rihards Zugs,10,1,Europe,Latvia
1673,LAT,Leonardo Golovcenko,10,1,Europe,Latvia
1673,SLO,Jan Krumpak,10,1,Europe,Slovenia
1673,FRA,Martin Boiveau,10,1,Europe,France
1673,UKR,Vladyslav Kunin,10,1,Europe,Ukraine
1673,LAT,Anrijs Zaķis,10,1,Europe,Latvia
1673,LAT,Edzus Meirans,10,1,Europe,Latvia
1673,LTU,Dominykas Gabriunas,10,1,Europe,Lithuania
1673,HUN,Bene Benjamin Kiss,10,1,Europe,Hungary
1673,NED,Pjotr Odijk,10,1,Europe,Netherlands
1673,SRB,Djordje Stepanovic,10,1,Europe,Serbia
1673,DEN,Sune Juul Ørskov,10,1,Europe,Denmark
1673,FRO,Rúni Øster,10,1,Europe,Faroe Islands
1695,MRI,Khemtish Nundah,2,1,Africa,Mauritius
