rank,country_code,player,points,tournaments,confederation,country
358,INA,Henrikho Kho Wibowo,3150,8,Asia,Indonesia
359,VEN,Manuel Estefano Quijada Moreno,3140,3,Pan America,Venezuela
360,IND,Saneeth Dayanand Shimoga,3080,5,Asia,India
361,SLO,Miha Ivančič,3060,15,Europe,Slovenia
362,IND,Naren Shankar Iyer,3040,7,Asia,India
363,USA,Adrian King-Sun Mar,3030,2,Pan America,U.S.A.
364,UKR,Ivan Medynskiy,2980,7,Europe,Ukraine
365,IND,Pranay Katta,2970,4,Asia,India
366,NED,Finn Achthoven,2920,14,Europe,Netherlands
367,MGL,Batdavaa Munkhbat,2920,8,Asia,Mongolia
368,IND,Balraj Kajla,2920,3,Asia,India
369,EGY,Abdelrahman Abdelhakim,2891,6,Africa,Egypt
370,AUS,Jack Yu,2890,2,Oceania,Australia
371,IND,Bhargav S,2880,5,Asia,India
372,UGA,Daniel Wanagaliya,2842,3,Africa,Uganda
373,CAN,Jackson Yang,2830,4,Pan America,Canada
374,KOR,Kim Joo Wan,2823,4,Asia,Korea
375,RUS,Vladimir Malkov,2820,2,Europe,Russia
376,USA,Sheng Lyu,2810,6,Pan America,U.S.A.
377,TPE,Chen Shao-Hsuan,2770,5,Asia,Chinese Taipei
378,CAN,Wong Yan Kit,2760,9,Pan America,Canada
379,THA,Woraphop Chuenkha,2750,4,Asia,Thailand
380,GUY,Narayan Ramdhani,2750,1,Pan America,Guyana
381,IND,Ajay Satish Kumar Nair,2730,5,Asia,India
382,MAS,Kreetik Kreetik,2700,10,Asia,Malaysia
383,SWE,Johan Azelius,2700,7,Europe,Sweden
384,IND,Siddharath Thakur,2680,7,Asia,India
385,IND,Bhawesh Pandey,2660,3,Asia,India
386,MDV,Hussein Zayan Shaheed Zaki,2650,9,Asia,Maldives
387,MAS,Eogene Ewe,2640,3,Asia,Malaysia
388,GER,Aaron Sonnenschein,2630,11,Europe,Germany
389,EGY,Ali Ahmed El Khateeb,2620,9,Africa,Egypt
390,CHN,Liu Hai Chao,2620,2,Asia,China
391,RSA,Ruan Snyman,2606,3,Africa,South Africa
392,SGP,Lim Shun Tian,2600,5,Asia,Singapore
393,DEN,David Kim,2600,4,Europe,Denmark
393,AUS,Rio Agustino,2600,4,Oceania,Australia
395,SCO,Callum Smith,2584,6,Europe,Scotland
396,GER,Camilo Borst,2580,8,Europe,Germany
397,POL,Dominik Kwinta,2548,7,Europe,Poland
398,FRA,Rafael Gavois,2540,9,Europe,France
399,VIE,Le Manh An Tran,2530,3,Asia,Vietnam
400,CAN,Nathan Appave,2470,2,Pan America,Canada
401,ESA,Manuel Mejia,2460,5,Pan America,El Salvador
401,ESA,Kennet Suria,2460,5,Pan America,El Salvador
403,THA,Varot Uraiwong,2450,8,Asia,Thailand
404,BEN,Oswald Ash Fano-Dosh,2449,3,Africa,Benin
405,JPN,Takuma Kawamoto,2440,2,Asia,Japan
406,BUL,Iliyan Stoynov,2420,10,Europe,Bulgaria
407,SGP,Lau Jun Hui Marcus,2410,5,Asia,Singapore
408,IND,Aditya Gupta,2410,4,Asia,India
409,TPE,Ting Yen-Chen,2410,2,Asia,Chinese Taipei
410,RUS,Georgii Lebedev,2400,3,Europe,Russia
411,MDV,Ahmed Nibal,2390,6,Asia,Maldives
412,EST,Ragnar Sepp,2360,9,Europe,Estonia
413,DEN,Marcus Viscovich,2360,5,Europe,Denmark
414,CAN,Lai Yin Chung,2340,3,Pan America,Canada
415,IND,Kanishq M,2330,7,Asia,India
416,ZIM,Thabani Mathe,2330,5,Africa,Zimbabwe
417,POL,Maksymilian Danielak,2320,9,Europe,Poland
418,UGA,Friday Attama,2306,3,Africa,Uganda
419,SWE,Ludvig Petre Olsson,2290,14,Europe,Sweden
420,BRA,Gabriel Cury,2290,2,Pan America,Brazil
421,SWE,Shaun Ekengren,2240,11,Europe,Sweden
422,AUS,Peter Yan,2240,3,Oceania,Australia
423,IND,Ajay Jayaram,2220,1,Asia,India
423,KOR,Choi Ji Hoon,2220,1,Asia,Korea
425,CAN,Kan Chao Yu,2210,2,Pan America,Canada
426,TPE,Huang Yu,2200,4,Asia,Chinese Taipei
427,IND,Bodhit Joshi,2200,3,Asia,India
427,DOM,Yonatan Linarez,2200,3,Pan America,Dominican Republic
427,CAN,Anton Menzel,2200,3,Pan America,Canada
430,SWE,Richard Kuhl,2180,11,Europe,Sweden
431,GUA,José Daniel Ochoa,2180,3,Pan America,Guatemala
432,GUA,Christopher Alexander Martinez Salvador,2166,3,Pan America,Guatemala
433,BAR,Kennie King,2150,4,Pan America,Barbados
434,IND,Vishal Vasudevan,2120,6,Asia,India
435,INA,Muhammad Febriansyah,2100,7,Asia,Indonesia
436,AZE,Azmy Qowimuramadhoni,2100,5,Europe,Azerbaijan
437,USA,Kelvin Chong,2100,4,Pan America,U.S.A.
438,AUS,Milain Lohith Ranasinghe,2090,3,Oceania,Australia
438,MAS,Mohamad Haris Sufian Rushdan,2090,3,Asia,Malaysia
440,POL,Lukasz Cimosz,2060,10,Europe,Poland
441,CRC,Gianpiero Cavallotti,2030,4,Pan America,Costa Rica
442,ENG,Harry Huang,2010,3,Europe,England
442,MEX,Rodrigo Morales,2010,3,Pan America,Mexico
444,SWE,Filip Karlborg,1990,14,Europe,Sweden
445,TPE,Cheng-Han Tsai,1980,3,Asia,Chinese Taipei
446,ZIM,Ashel Dziva,1970,4,Africa,Zimbabwe
447,CAN,Ramnish Kumar,1960,6,Pan America,Canada
448,INA,Alden Lefilson Putra Mainaky,1940,7,Asia,Indonesia
448,USA,Aaron Bai,1940,7,Pan America,U.S.A.
450,TPE,Shih Kuan-Chih,1940,3,Asia,Chinese Taipei
451,INA,Mikael Dwi Putra,1930,4,Asia,Indonesia
452,TPE,Hsu Yu-Han,1920,2,Asia,Chinese Taipei
453,MRI,Tejraj Pultoo,1910,5,Africa,Mauritius
454,ESA,José Alejandro Orellana,1910,4,Pan America,El Salvador
455,IND,Eshwar Sukumar,1890,4,Asia,India
456,FRA,Simon Baron-Vezilier,1880,6,Europe,France
457,AZE,Dicky Dwi Pangestu,1880,3,Europe,Azerbaijan
458,ESA,Carlos Rodriguez,1880,2,Pan America,El Salvador
458,IND,Shubham Patel,1880,2,Asia,India
458,REU,Assing Aaron,1880,2,Africa,Ligue Nouvelle Badminton REUNION
